
2026/01/05 (23:11:41) | ===> btop++ v.1.3.0
2026/01/05 (23:11:41) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2026/01/05 (23:11:41) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2026/01/06 (00:31:12) | ===> btop++ v.1.3.0
2026/01/06 (00:31:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2026/01/06 (00:31:12) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2026/01/06 (04:05:16) | ===> btop++ v.1.3.0
2026/01/06 (04:05:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2026/01/06 (04:05:16) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2026/01/06 (05:51:36) | ===> btop++ v.1.3.0
2026/01/06 (05:51:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2026/01/06 (05:51:36) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2026/01/06 (06:30:27) | ===> btop++ v.1.3.0
2026/01/06 (06:30:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2026/01/06 (06:30:27) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2026/01/06 (06:38:07) | ===> btop++ v.1.3.0
2026/01/06 (06:38:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2026/01/06 (06:38:07) | WARNING: NVML: Failed to get GPU power usage: Not Supported
